字,拼音,IPA,備註
搔,so1,sɔ1,
損,sueng3,suəŋ3,
搶,qiang1,tɕʰiã1,
搶,qyuo3,tɕʰyo̞3,
搖,yo2,iɔ2,
搗,do3,tɔ3,
撇,piaq5,pʰiʌʔ5,
摘,zaq5,tsʌʔ5,
摘,zhaq5,tʂʌʔ5,
摔,suaq5,suʌʔ5,
摔,suae1,suɛ1,
撤,chaq5,tʂʰʌʔ5,
摸,maq5,mʌʔ5,
摟,lou3,lɤu3,
摺,zhaq5,tʂʌʔ5,
摑,guaq5,kuʌʔ5,
摧,cuae1,tsʰuɛ1,
摩,mo2,mɔ2,
摩,mei2,mei2,
摯,zr4,tsɿ4,
摹,mu2,mu2,
撞,zuon2,tsuõ̞2,
撲,paq5,pʰʌʔ5,
撈,lo2,lɔ2,
撐,ceng1,tsʰəŋ1,
撐,cha3,tʂʰa3,
撰,zuon4,tsuõ̞4,
撥,baq5,pʌʔ5,
撓,nzo2,nzɔ2,
撕,sr1,sɿ1,
撩,lio2,liɔ2,
撒,saq5,sʌʔ5,
撮,cuaq5,tsʰuʌʔ5,
播,bo4,pɔ4,
撫,hu3,xu3,
撚,nie3,ȵie̞3,
撬,qio4,tɕʰiɔ4,
擅,shang4,ʂã4,
擁,yueng3,yəŋ3,
擋,duo3,tuo̞3,
擋,dang3,tã3,
撻,taq5,tʰʌʔ5,
撼,hang4,xã4,
據,jyu4,tɕy4,
擄,lou3,lɤu3,
擇,zaq6,tsʌʔ6,
擇,zhaq6,tʂʌʔ6,
擂,luae4,luɛ4,
操,co1,tsʰɔ1,
操,co4,tsʰɔ4,
撿,jie3,tɕie̞3,
擒,qieng2,tɕʰiəŋ2,
擔,dang1,tã1,
擎,qieng2,tɕʰiəŋ2,
擊,jiaq5,tɕiʌʔ5,
擘,biaq5,piʌʔ5,掰
擠,zei3,tsei3,
擰,nzeng2,nzəŋ2,存疑
擦,caq5,tsʰʌʔ5,
擬,ni3,ȵi3,
擱,gaq5,kʌʔ5,
擴,kuaq5,kʰuʌʔ5,
擲,zhaq6,tʂʌʔ6,
擾,ro3,ɻɔ3,
攆,nie3,ȵie̞3,
擺,bae3,pɛ3,
擻,sou3,sɤu3,
攀,pang1,pʰã1,
攏,lueng3,luəŋ3,
攘,rang2,ɻã2,
攔,lang2,lã2,
攙,cang2,tsʰã2,
攝,shaq5,ʂʌʔ5,
攜,xi2,ɕi2,
攤,tang1,tʰã1,
攣,lyue2,lyẽ̞2,存疑，不知土話說法
攫,jyuaq5,tɕyʌʔ5,
攪,jio3,tɕiɔ3,
攬,lang3,lã3,
支,zr1,tsɿ1,
收,shou1,ʂɤu1,
改,gae3,kɛ3,
攻,gueng1,kuəŋ1,
放,huon4,xuõ̞4,
放,huo4,xuo̞4,
政,zheng4,tʂəŋ4,
政,zhi4,tʂi4,
故,gu4,ku4,
效,xio4,ɕiɔ4,
敝,bi4,pi4,
敖,ngo2,ŋɔ2,
救,jiou4,tɕiɤu4,
教,jio1,tɕiɔ1,
教,jio4,tɕiɔ4,
敗,bae4,pɛ4,
啟,qi3,tɕʰi3,
敏,mieng3,miəŋ3,
敘,xyu4,ɕy4,
敞,chang3,tʂʰã3,
敦,dueng1,tuəŋ1,
敢,gang3,kã3,
散,sang3,sã3,
散,sang4,sã4,
敬,jieng4,tɕiəŋ4,
敲,qio1,tɕʰiɔ1,
敵,diaq6,tiʌʔ6,
敷,hu1,xu1,
數,sw3,sʮ3,
整,zheng3,tʂəŋ3,
整,zhr3,tʂʅ3,
斂,lie3,lie̞3,
斃,bi4,pi4,
文,weng2,uəŋ2,
斑,bang1,pã1,
斐,huei3,xuei3,
斗,dou3,tɤu3,
料,lio4,liɔ4,
斜,xie2,ɕie̞2,
斟,zheng1,tʂəŋ1,
斡,waq5,uʌʔ5,
斤,jieng1,tɕiəŋ1,
斥,chaq5,tʂʰʌʔ5,
斧,hu3,xu3,
斫,zuaq5,tsuʌʔ5,
斬,zang3,tsã3,
斯,sr1,sɿ1,
新,xieng1,ɕiəŋ1,
斷,duon4,tuõ̞4,
方,huon1,xuõ̞1,
方,huo1,xuo̞1,
於,yu1,y1,
於,wu1,u1,
施,sr1,sɿ1,
旁,pang2,pʰã2,
旅,luei3,luei3,
族,jyuaq6,tɕyʌʔ6,
旋,xyue2,ɕyẽ̞2,
旋,xyue4,ɕyẽ̞4,
旌,jieng1,tɕiəŋ1,
旎,nzr3,nzɿ3,
旗,qi2,tɕʰi2,
旖,yi1,i1,
既,ji4,tɕi4,
日,raq6,ɻʌʔ6,
旦,dang4,tã4,
早,zo3,tsɔ3,
旨,zr3,tsɿ3,
旬,xyueng2,ɕyəŋ2,
旭,xyuaq5,ɕyʌʔ5,
旱,hang4,xã4,
旺,won4,uõ̞4,
旺,wo4,uo̞4,
昔,xiaq5,ɕiʌʔ5,
易,yi4,i4,
易,yaq6,iʌʔ6,
昌,chang1,tʂʰã1,
昆,kueng1,kʰuəŋ1,
昂,ngang2,ŋã2,
明,mieng2,miəŋ2,
明,mi2,mi2,
昀,yueng2,yəŋ2,
昏,hueng1,xuəŋ1,
春,cueng1,tsʰuəŋ1,
昭,zho1,tʂɔ1,
映,yeng4,iəŋ4,
映,yi4,i4,
昧,mae4,mɛ4,
是,sr4,sɿ4,
星,xieng1,ɕiəŋ1,
星,sei1,sei1,
昨,zaq6,tsʌʔ6,
時,cr2,tsʰɿ2,
時,sr2,sɿ2,
晉,jieng4,tɕiəŋ4,
晏,niang4,ȵiã4,
晃,huon4,xuõ̞4,
晃,huo4,xuo̞4,
晒,sae4,sɛ4,
晌,shang3,ʂã3,
晌,suo3,suo̞3,
晝,zhou4,tʂɤu4,
晚,won3,uõ̞3,
晤,wu4,u4,
晨,cheng2,tʂʰəŋ2,
晨,sheng2,ʂəŋ2,
晦,huae4,xuɛ4,
普,pu3,pʰu3,
晰,xiaq5,ɕiʌʔ5,
晴,qieng2,tɕʰiəŋ2,
晴,cei2,tsʰei2,
晶,jieng1,tɕiəŋ1,
晶,zei1,tsei1,
景,jieng3,tɕiəŋ3,
暑,sw3,sʮ3,
智,zhr4,tʂʅ4,
暗,ngang4,ŋã4,
暉,huei1,xuei1,
暇,xia2,ɕia2,
暈,yueng4,yəŋ4,
暈,yueng1,yəŋ1,
暖,nuon3,ȵuõ̞3,
暖,nzuon3,nzuõ̞3,
暢,chang4,tʂʰã4,
暨,ji4,tɕi4,
暮,mu4,mu4,
暫,zang4,tsã4,
暴,bo4,pɔ4,
曆,liaq6,liʌʔ6,
曉,xio3,ɕiɔ3,
暹,xie1,ɕie̞1,
曙,sw4,sʮ4,
曖,ngae4,ŋɛ4,
曠,kuon4,kʰuõ̞4,
曝,bo4,pɔ4,
曦,xi1,ɕi1,
曰,yuaq6,yʌʔ6,
曲,qyuaq5,tɕʰyʌʔ5,
曳,yi4,i4,
更,geng1,kəŋ1,
更,geng4,kəŋ4,
曷,haq6,xʌʔ6,
書,sw1,sʮ1,
曹,co2,tsʰɔ2,
勗,xyuaq5,ɕyʌʔ5,
曾,zeng1,tsəŋ1,
曾,ceng2,tsʰəŋ2,
替,ti4,tʰi4,
會,huae4,xuɛ4,
月,yuaq6,yʌʔ6,
有,you3,iɤu3,
服,huaq6,xuʌʔ6,
朋,peng2,pʰəŋ2,
朔,suaq5,suʌʔ5,
朕,zheng4,tʂəŋ4,
朗,lang3,lã3,
望,won4,uõ̞4,
望,wo4,uo̞4,
期,qi2,tɕʰi2,
朝,zho1,tʂɔ1,
朦,meng2,məŋ2,
朧,lueng2,luəŋ2,
木,maq6,mʌʔ6,
朮,zuaq6,tsuʌʔ6,
本,beng3,pəŋ3,
未,wei4,uei4,
末,maq6,mʌʔ6,
札,zaq5,tsʌʔ5,
朽,xiou3,ɕiɤu3,
朴,paq5,pʰʌʔ5,
朱,zw1,tsʮ1,
朵,duo3,tuo̞3,
朵,duei3,tuei3,
束,suaq5,suʌʔ5,
李,li3,li3,
杏,xie4,ɕie̞4,
杏,xieng4,ɕiəŋ4,
材,cae2,tsʰɛ2,
村,cueng1,tsʰuəŋ1,
杜,du4,tu4,
杖,zhang4,tʂã4,
杞,qi3,tɕʰi3,
杉,sang1,sã1,
杭,hang2,xã2,
枋,huon1,xuõ̞1,
枕,zheng4,tʂəŋ4,
東,dueng1,tuəŋ1,
果,guo3,kuo̞3,
果,guei3,kuei3,
杳,yo3,iɔ3,
杷,pa2,pʰa2,
枇,pi2,pʰi2,
枝,zr1,tsɿ1,
林,lieng2,liəŋ2,
杯,bae1,pɛ1,
杰,jiaq6,tɕiʌʔ6,
板,bang3,pã3,
枉,won3,uõ̞3,平素冤枉用輕聲
松,sueng1,suəŋ1,
析,xiaq5,ɕiʌʔ5,
杵,cw3,tsʰʮ3,
枚,mae2,mɛ2,
柿,zr4,tsɿ4,
柿,sr4,sɿ4,
染,rang3,ɻã3,
柱,zw4,tsʮ4,
柔,rou2,ɻɤu2,
某,mu3,mu3,
柬,jiang3,tɕiã3,
架,jia4,tɕia4,
枯,ku1,kʰu1,
柵,sang4,sã4,
柩,jiou4,tɕiɤu4,
柯,ko3,kʰɔ3,
柄,bieng3,piəŋ3,
柑,gang1,kã1,
枴,guae3,kuɛ3,
柚,you4,iɤu4,
查,ca2,tsʰa2,
枸,gou3,kɤu3,
柏,biaq5,piʌʔ5,
柞,zaq5,tsʌʔ5,
柳,liou3,liɤu3,
校,xio4,ɕiɔ4,
校,jio4,tɕiɔ4,
核,haq6,xʌʔ6,
核,kuaq6,kʰuʌʔ6,
案,ngang4,ŋã4,
框,kuon1,kʰuõ̞1,
桓,huon2,xuõ̞2,
根,geng1,kəŋ1,
桂,guei4,kuei4,
桔,jiaq5,tɕiʌʔ5,
栩,yu3,y3,
梳,sw1,sʮ1,
栗,liaq6,liʌʔ6,
桌,zuaq5,tsuʌʔ5,
桑,sang1,sã1,
桑,xyuo1,ɕyo̞1,
栽,zae1,tsɛ1,
柴,cae2,tsʰɛ2,
柴,sae2,sɛ2,
桐,tueng2,tʰuəŋ2,
桀,jiaq6,tɕiʌʔ6,
格,gaq5,kʌʔ5,
桃,to2,tʰɔ2,
桃,do2,tɔ2,
株,zw1,tsʮ1,
桅,wei2,uei2,
栓,suon1,suõ̞1,
梁,liang2,liã2,
梁,luo2,luo̞2,
梯,ti1,tʰi1,
梢,so1,sɔ1,
梓,zr3,tsɿ3,
梵,huon4,xuõ̞4,
桿,gang1,kã1,
桶,tueng3,tʰuəŋ3,
梧,wu2,u2,
梗,geng3,kəŋ3,
械,jie4,tɕie̞4,
棄,qi4,tɕʰi4,
梭,suo1,suo̞1,
梭,xyue1,ɕyẽ̞1,
梆,bang1,pã1,
梅,mae2,mɛ2,
梔,zr1,tsɿ1,
條,tio2,tʰiɔ2,
條,dio2,tiɔ2,
梨,li2,li2,
梟,xio1,ɕiɔ1,
棺,guon1,kuõ̞1,
棕,zueng1,tsuəŋ1,
棠,tang2,tʰã2,
棘,jiaq5,tɕiʌʔ5,
棗,zo3,tsɔ3,
椅,yi1,i1,
棟,dueng4,tuəŋ4,
棵,kuei1,kʰuei1,
棵,kuo1,kʰuo̞1,
森,seng1,səŋ1,
棧,zang4,tsã4,
棹,zo4,tsɔ4,
棒,bang4,pã4,
棒,buo4,puo̞4,
棲,sei1,sei1,
棣,di4,ti4,
棋,qi2,tɕʰi2,
棍,gueng4,kuəŋ4,
植,zhaq6,tʂʌʔ6,
椒,jio1,tɕiɔ1,
椎,zuei1,tsuei1,
棉,mie2,mie̞2,
棚,peng2,pʰəŋ2,
榔,lang2,lã2,
業,niaq6,ȵiʌʔ6,
楚,cw3,tsʰʮ3,
楷,kae3,kʰɛ3,
楠,nang2,ȵã2,
楔,xiaq5,ɕiʌʔ5,
極,jiaq6,tɕiʌʔ6,
椰,ye2,ie̞2,
概,gae4,kɛ4,
楊,yang2,iã2,
楊,yuo2,yo̞2,
楨,zheng1,tʂəŋ1,
楫,jiaq5,tɕiʌʔ5,
楞,leng2,ləŋ2,
楓,hueng1,xuəŋ1,
楹,yeng2,iəŋ2,
榆,yu2,y2,
榜,bang3,pã3,
榨,za4,tsa4,
榕,yueng2,yəŋ2,
槁,go3,kɔ3,
榮,yueng2,yəŋ2,
槓,gang4,kã4,
構,gou4,kɤu4,
榛,zheng1,tʂəŋ1,
榷,qyuaq5,tɕʰyʌʔ5,
榻,taq5,tʰʌʔ5,
榫,sueng3,suəŋ3,
榴,liou2,liɤu2,
槐,huae2,xuɛ2,
槍,qiang1,tɕʰiã1,
榭,xie4,ɕie̞4,
槌,cuei2,tsʰuei2,
樣,yang4,iã4,
樣,yuo4,yo̞4,
樟,zhang1,tʂã1,
槨,guaq5,kuʌʔ5,
樁,zuon1,tsuõ̞1,
樞,sw1,sʮ1,
標,bio1,piɔ1,
槽,zo1,tsɔ1,
模,mu2,mu2,
樓,lou2,lɤu2,
樊,huon2,xuõ̞2,
槳,jiang3,tɕiã3,
樂,yuaq6,yʌʔ6,
樂,yaq6,iʌʔ6,
樂,laq6,lʌʔ6,
樅,zueng1,tsuəŋ1,
樽,zueng1,tsuəŋ1,
樸,paq5,pʰʌʔ5,
樺,hua4,xua4,
橙,cheng2,tʂʰəŋ2,
橫,heng2,xəŋ2,
橫,xyue2,ɕyẽ̞2,
橘,jyuaq5,tɕyʌʔ5,
樹,sw4,sʮ4,
橄,gang3,kã3,
橢,tuo3,tʰuo̞3,存疑：轉圈之tuei
橡,xiang4,ɕiã4,
橋,qio2,tɕʰiɔ2,
橇,qio1,tɕʰiɔ1,
樵,qio2,tɕʰiɔ2,
機,ji1,tɕi1,
檀,tang2,tʰã2,
檔,dang3,tã3,
檄,xiaq6,ɕiʌʔ6,
檢,jie3,tɕie̞3,
檜,huae4,xuɛ4,
櫛,zhaq5,tʂʌʔ5,
檳,bieng1,piəŋ1,
檬,meng2,məŋ2,
櫃,guei4,kuei4,
檻,jiang4,tɕiã4,
檸,nieng2,ȵiəŋ2,
櫥,cw2,tsʰʮ2,
櫝,duaq6,tuʌʔ6,
櫚,luei3,luei3,
櫓,lou3,lɤu3,
櫻,yeng1,iəŋ1,
欄,lang2,lã2,
權,qyue2,tɕʰyẽ̞2,
欖,lang3,lã3,
欠,qie4,tɕʰie̞4,
次,cr4,tsʰɿ4,
欣,xieng1,ɕiəŋ1,
欲,yuaq6,yʌʔ6,
款,kuon3,kʰuõ̞3,
欺,qi1,tɕʰi1,
欽,qieng1,tɕʰiəŋ1,
歇,xiaq5,ɕiʌʔ5,
歉,qie3,tɕʰie̞3,
歌,go1,kɔ1,
歌,gie1,kie̞1,
歐,ngou1,ŋɤu1,
歙,xiaq5,ɕiʌʔ5,
歟,yu2,y2,
歡,huon1,xuõ̞1,
止,zr3,tsɿ3,
正,zheng4,tʂəŋ4,
正,zhi4,tʂi4,
正,zheng1,tʂəŋ1,
此,cr3,tsʰɿ3,
步,bu4,pu4,
武,wu3,u3,
歧,qi2,tɕʰi2,
歪,wae1,uɛ1,
歲,suei4,suei4,
歷,liaq6,liʌʔ6,
歸,guei1,kuei1,
歹,dae3,tɛ3,
死,sr3,sɿ3,
歿,maq6,mʌʔ6,
殃,yang1,iã1,
殆,dae4,tɛ4,
殊,sw1,sʮ1,
殉,xyueng4,ɕyəŋ4,
殘,cang2,tsʰã2,
殖,shaq6,ʂʌʔ6,zhaq5實爲植
殖,zhaq5,tʂʌʔ5,
殤,shang1,ʂã1,
殮,lie4,lie̞4,
殯,bieng4,piəŋ4,
殲,jie1,tɕie̞1,
段,duon4,tuõ̞4,
殷,yeng1,iəŋ1,
殺,saq5,sʌʔ5,
殼,kaq5,kʰʌʔ5,
毀,huei3,xuei3,
殿,die4,tie̞4,
毅,ni4,ȵi4,
毆,ngou1,ŋɤu1,
毋,wu2,u2,姓氏音武（似乎）
毋,wu3,u3,
母,mu3,mu3,
每,mae3,mɛ3,
毒,duaq6,tuʌʔ6,
毓,yuaq6,yʌʔ6,
比,bi3,pi3,
毗,pi2,pʰi2,
毛,mo2,mɔ2,
毛,mu2,mu2,
毫,ho2,xɔ2,
毯,tang3,tʰã3,
毽,jie4,tɕie̞4,
氏,sr4,sɿ4,
民,mieng2,miəŋ2,
氐,zhr1,tʂʅ1,
氐,di1,ti1,
氓,meng2,məŋ2,
氓,mang2,mã2,
氛,hueng2,xuəŋ2,
氟,huaq5,xuʌʔ5,
氣,qi4,tɕʰi4,
氧,yang3,iã3,
氨,ngang1,ŋã1,
氦,hae4,xɛ4,
氤,yeng1,iəŋ1,
氫,qieng1,tɕʰiəŋ1,
氮,dang4,tã4,
氯,luaq6,luʌʔ6,
氳,yueng1,yəŋ1,
水,suei3,suei3,
永,yueng3,yəŋ3,
汁,zhaq5,tʂʌʔ5,
汀,tieng1,tʰiəŋ1,
氾,huon2,xuõ̞2,
求,qiou2,tɕʰiɤu2,
汝,zsw3,zʮ3,
汗,hang4,xã4,
汙,wu1,u1,
江,jiang1,tɕiã1,
池,chr2,tʂʰʅ2,
汐,xiaq6,ɕiʌʔ6,
汕,sang3,sã3,
汞,gueng3,kuəŋ3,
沙,sa1,sa1,
沁,qieng4,tɕʰiəŋ4,
沈,sheng3,ʂəŋ3,
沉,cheng2,tʂʰəŋ2,
沅,yue2,yẽ̞2,
沛,pae4,pʰɛ4,
汪,won1,uõ̞1,
決,jyuaq5,tɕyʌʔ5,
沐,maq6,mʌʔ6,
汰,tae4,tʰɛ4,
沌,tueng2,tʰuəŋ2,
汨,guaq5,kuʌʔ5,
沖,cueng1,tsʰuəŋ1,
沒,maq6,mʌʔ6,
汽,qi4,tɕʰi4,
沃,waq5,uʌʔ5,
汲,jiaq5,tɕiʌʔ5,
汾,hueng2,xuəŋ2,
泣,qiaq5,tɕʰiʌʔ5,
注,zw4,tsʮ4,
泳,yueng4,yəŋ4,
沱,tuo2,tʰuo̞2,
泌,bi4,pi4,
泥,ni2,ȵi2,
河,ho2,xɔ2,
河,hei2,xei2,
沽,gu1,ku1,
沾,zhang1,tʂã1,
沼,zho3,tʂɔ3,
波,bo1,pɔ1,
沫,maq6,mʌʔ6,
法,huaq5,xuʌʔ5,
泓,hueng2,xuəŋ2,
沸,huei4,xuei4,
泄,xiaq5,ɕiʌʔ5,
油,you2,iɤu2,
況,kuon4,kʰuõ̞4,
沮,jyu3,tɕy3,
泗,sr4,sɿ4,
泅,qiou2,tɕʰiɤu2,
泱,yang1,iã1,
沿,yue2,yẽ̞2,
沿,ye2,ie̞2,
治,zhr4,tʂʅ4,
泡,po4,pʰɔ4,
泛,huon4,xuõ̞4,
泊,baq6,pʌʔ6,
泉,qyue2,tɕʰyẽ̞2,
泉,jyue2,tɕyẽ̞2,
泰,tae4,tʰɛ4,
洋,yang2,iã2,
洲,zhou1,tʂɤu1,
洪,hueng2,xuəŋ2,
流,liou2,liɤu2,
津,jieng1,tɕiəŋ1,
洌,liaq6,liʌʔ6,
洱,er3,ər3,
洞,dueng4,tuəŋ4,
洞,tueng2,tʰuəŋ2,
洗,sei3,sei3,
活,huaq6,xuʌʔ6,
洽,qiaq5,tɕʰiʌʔ5,
派,pae4,pʰɛ4,
洶,xyueng1,ɕyəŋ1,
洶,xyueng3,ɕyəŋ3,
洛,laq6,lʌʔ6,
浪,lang2,lã2,
涕,ti3,tʰi3,
消,xio1,ɕiɔ1,
涇,jieng1,tɕiəŋ1,
浦,pu3,pʰu3,
浸,qieng1,tɕʰiəŋ1,
浸,jieng4,tɕiəŋ4,
海,hae3,xɛ3,
浙,zhaq5,tʂʌʔ5,
涓,jyue1,tɕyẽ̞1,
涉,shaq6,ʂʌʔ6,
浮,hu2,xu2,
浚,xyueng4,ɕyəŋ4,
浴,yuaq6,yʌʔ6,
浩,ho4,xɔ4,
涎,ye2,ie̞2,
涼,liang2,liã2,
涼,luo2,luo̞2,
淳,cueng2,tsʰuəŋ2,
淙,cueng2,tsʰuəŋ2,
液,ye4,ie̞4,
淡,dang4,tã4,
淌,tang3,tʰã3,
淤,yu1,y1,
添,tie1,tʰie̞1,
淺,qie3,tɕʰie̞3,
清,qieng1,tɕʰiəŋ1,
清,cei1,tsʰei1,
淇,qi2,tɕʰi2,
淋,lieng2,liəŋ2,
涯,nie2,ȵie̞2,
淑,suaq6,suʌʔ6,
涮,suon4,suõ̞4,
淞,sueng1,suəŋ1,
淹,ye1,ie̞1,
涸,haq6,xʌʔ6,
混,hueng4,xuəŋ4,
混,hueng3,xuəŋ3,
淵,yue1,yẽ̞1,
淅,xiaq5,ɕiʌʔ5,
淒,cei1,tsʰei1,
渚,zw3,tsʮ3,
涵,hang2,xã2,
淚,luei4,luei4,
淫,yeng2,iəŋ2,
淘,to2,tʰɔ2,
淘,do2,tɔ2,
淪,lueng2,luəŋ2,
深,sheng1,ʂəŋ1,
淮,huae2,xuɛ2,
淨,jieng4,tɕiəŋ4,
淨,zei4,tsei4,
淆,nio3,ȵiɔ3,
淄,zr1,tsɿ1,
港,gang3,kã3,
游,you2,iɤu2,
湔,qie2,tɕʰie̞2,
渡,du4,tu4,
渲,xyue4,ɕyẽ̞4,
湧,yueng3,yəŋ3,
湊,cou4,tsʰɤu4,
渠,qyu2,tɕʰy2,
渠,jyu2,tɕy2,
渥,yuaq5,yʌʔ5,
渣,za1,tsa1,
減,jiang3,tɕiã3,
湛,zang4,tsã4,
湘,xiang1,ɕiã1,
渤,baq6,pʌʔ6,
湖,hu2,xu2,
湮,ye1,ie̞1,
渭,wei4,uei4,
渦,wo1,uo̞1,
渦,wei1,uei1,
湯,tang1,tʰã1,
湯,tuo1,tʰuo̞1,
渴,kaq5,kʰʌʔ5,
湍,tuon1,tʰuõ̞1,
渺,mio3,miɔ3,
測,caq5,tsʰʌʔ5,
湃,pae4,pʰɛ4,
渝,yu2,y2,
渾,hueng2,xuəŋ2,
滋,zr1,tsɿ1,
溉,gae4,kɛ4,
渙,huon4,xuõ̞4,
溢,yaq6,iʌʔ6,
溯,sou4,sɤu4,
滓,zr3,tsɿ3,
溶,yueng2,yəŋ2,
滂,pang1,pʰã1,
源,yue2,yẽ̞2,
溝,gou1,kɤu1,
滇,tie2,tʰie̞2,
滇,die1,tie̞1,
滅,miaq6,miʌʔ6,
溥,pu3,pʰu3,
溘,haq5,xʌʔ5,
溼,shaq5,ʂʌʔ5,
溺,niaq6,ȵiʌʔ6,
溫,weng1,uəŋ1,
滑,guaq5,kuʌʔ5,
滑,huaq6,xuʌʔ6,
準,zueng3,tsuəŋ3,
溜,liou4,liɤu4,
滄,cang1,tsʰã1,
滔,to1,tʰɔ1,
溪,qi1,tɕʰi1,
漳,zhang1,tʂã1,
演,ye3,ie̞3,
滾,gueng3,kuəŋ3,
漓,li2,li2,
滴,diaq5,tiʌʔ5,
漩,xyue4,ɕyẽ̞4,
漾,yang4,iã4,
漾,yuo4,yo̞4,
漠,maq6,mʌʔ6,
漬,zr4,tsɿ4,
漏,lou4,lɤu4,
漂,pio1,pʰiɔ1,
漂,pio3,pʰiɔ3,
漢,hang4,xã4,
滿,mang3,mã3,
滯,zr4,tsɿ4,祭韻不確定平翹
漆,qiaq5,tɕʰiʌʔ5,
漱,sou4,sɤu4,
漸,jie1,tɕie̞1,
漲,zhang3,tʂã3,
漲,zuo3,tsuo̞3,
漣,lie2,lie̞2,
漕,co2,tsʰɔ2,
漫,mang4,mã4,
漯,taq5,tʰʌʔ5,
澈,chaq5,tʂʰʌʔ5,
漪,yi1,i1,
滬,hu4,xu4,
漁,yu2,y2,
漁,nyu2,ȵy2,
滲,seng4,səŋ4,
滌,diaq6,tiʌʔ6,
漿,jiang1,tɕiã1,
潼,tueng2,tʰuəŋ2,
澄,cheng2,tʂʰəŋ2,
潑,paq5,pʰʌʔ5,
潦,lio3,liɔ3,
潔,jiaq5,tɕiʌʔ5,
澆,jio1,tɕiɔ1,
潭,tang2,tʰã2,
潛,qie2,tɕʰie̞2,
潸,sang1,sã1,
潮,cho2,tʂʰɔ2,
澎,peng2,pʰəŋ2,
潺,cang2,tsʰã2,
潰,kuae4,kʰuɛ4,
潤,zsueng4,zuəŋ4,
澗,jiang4,tɕiã4,
潘,pang1,pʰã1,
濂,lie2,lie̞2,
澱,die4,tie̞4,
澡,zo3,tsɔ3,
濃,neng2,ȵəŋ2,
澤,zaq6,tsʌʔ6,
濁,zuaq6,tsuʌʔ6,
澧,li3,li3,
澳,ngo4,ŋɔ4,
激,jiaq5,tɕiʌʔ5,
澹,dang4,tã4,
濘,nieng3,ȵiəŋ3,
濱,bieng1,piəŋ1,
濟,zei3,tsei3,
濠,ho2,xɔ2,
濛,meng2,məŋ2,
濤,to2,tʰɔ2,
濫,lang4,lã4,
濯,zuaq6,tsuʌʔ6,
濯,zhaq6,tʂʌʔ6,
澀,saq5,sʌʔ5,
濬,xyueng4,ɕyəŋ4,
濡,zsw2,zʮ2,
瀉,xie3,ɕie̞3,
瀋,sheng3,ʂəŋ3,
濾,luei4,luei4,
瀆,duaq6,tuʌʔ6,
濺,jie1,tɕie̞1,
瀑,paq5,pʰʌʔ5,
瀏,liou2,liɤu2,
瀛,yeng2,iəŋ2,
瀟,xio1,ɕiɔ1,
瀨,lae4,lɛ4,
瀚,hang4,xã4,
瀝,liaq6,liʌʔ6,
瀕,bieng1,piəŋ1,
瀾,lang2,lã2,
瀰,mi2,mi2,
灌,guon4,kuõ̞4,
灑,sa3,sa3,
灘,tang1,tʰã1,
灣,won1,uõ̞1,
灤,luon2,luõ̞2,
火,huo3,xuo̞3,
火,huei3,xuei3,
灰,huae1,xuɛ1,
灶,zo4,tsɔ4,
灼,zuaq5,tsuʌʔ5,
災,zae1,tsɛ1,
灸,jiou3,tɕiɤu3,
炕,kang4,kʰã4,
炕,kuo4,kʰuo̞4,
炎,ye2,ie̞2,
炒,co3,tsʰɔ3,
炒,so3,sɔ3,
炊,cuei1,tsʰuei1,
炙,zhaq5,tʂʌʔ5,
炫,xyue4,ɕyẽ̞4,
為,wei2,uei2,
炳,bieng3,piəŋ3,
炬,jyu4,tɕy4,
炯,jyueng3,tɕyəŋ3,
炭,tang4,tʰã4,
炸,zaq6,tsʌʔ6,
炮,po2,pʰɔ2,
烊,yang2,iã2,
烘,hueng1,xuəŋ1,
烤,ko3,kʰɔ3,
烙,lo4,lɔ4,
烈,liaq6,liʌʔ6,
烏,wu1,u1,
烹,peng1,pʰəŋ1,
焉,ye1,ie̞1,
焊,hang4,xã4,
烽,hueng1,xuəŋ1,
焙,bae4,pɛ4,
焚,hueng2,xuəŋ2,
焦,jio1,tɕiɔ1,
焰,ye4,ie̞4,
無,wu2,u2,
然,rang2,ɻã2,
煮,zw3,tsʮ3,
煎,jie1,tɕie̞1,
煙,ye1,ie̞1,
煩,huon2,xuõ̞2,
煤,mae2,mɛ2,
煉,lyue4,lyẽ̞4,
照,zho4,tʂɔ4,
煜,yuaq6,yʌʔ6,
煬,yang2,iã2,
煦,xyu4,ɕy4,
煌,huon2,xuõ̞2,
煥,huon4,xuõ̞4,
煞,saq5,sʌʔ5,
熔,yueng2,yəŋ2,
熙,xi1,ɕi1,
煽,shang1,ʂã1,
熊,xyueng2,ɕyəŋ2,
熄,xiaq5,ɕiʌʔ5,
熟,suaq6,suʌʔ6,
熬,ngo2,ŋɔ2,
熱,raq5,ɻʌʔ5,
熨,wei4,uei4,
熾,cr4,tsʰɿ4,
燉,dueng4,tuəŋ4,
燐,lieng2,liəŋ2,
燒,sho1,ʂɔ1,
燈,deng1,təŋ1,
燕,ye1,ie̞1,
熹,xi1,ɕi1,
燎,lio2,liɔ2,
燙,tang4,tʰã4,
燙,tuo4,tʰuo̞4,
燜,meng2,məŋ2,
燃,rang2,ɻã2,
燄,ye4,ie̞4,
燧,suei4,suei4,
營,yi2,i2,
營,yeng2,iəŋ2,
燮,xiaq5,ɕiʌʔ5,
燦,cang4,tsʰã4,
