字,拼音,IPA,備註
北,biaq5,piʌʔ5,
北,baq5,pʌʔ5,
匙,cr2,tsʰɿ2,
匙,sr2,sɿ2,
匝,zaq5,tsʌʔ5,
匡,kuon1,kʰuõ̞1,
匠,jiang4,tɕiã4,
匠,jyuo4,tɕyo̞4,
匣,xiaq6,ɕiʌʔ6,
匣,haq6,xʌʔ6,
匪,huei3,xuei3,
匯,huae4,xuɛ4,
匱,kuei4,kʰuei4,
匹,piaq5,pʰiʌʔ5,
匿,niaq6,ȵiʌʔ6,
區,qyu1,tɕʰy1,
匾,bie3,pie̞3,
十,shaq6,ʂʌʔ6,
千,qie1,tɕʰie̞1,
午,wu3,u3,
升,sheng1,ʂəŋ1,
升,shr1,ʂʅ1,
卅,saq5,sʌʔ5,
仟,qie1,tɕʰie̞1,
半,bang4,pã4,
卉,huei4,xuei4,
卒,jyuaq5,tɕyʌʔ5,
協,xiaq6,ɕiʌʔ6,
卓,zuaq5,tsuʌʔ5,
卑,bei1,pei1,
南,nang2,ȵã2,
博,baq6,pʌʔ6,
卜,baq5,pʌʔ5,
卞,bie4,pie̞4,
卡,qia3,tɕʰia3,
卡,ka3,kʰa3,
占,zhang1,tʂã1,
卦,gua4,kua4,
卯,mo3,mɔ3,
卮,zr1,tsɿ1,
印,yeng4,iəŋ4,
危,wei2,uei2,
即,jiaq5,tɕiʌʔ5,
卵,luon3,luõ̞3,
卷,jyue4,tɕyẽ̞4,
卸,xie4,ɕie̞4,
卹,xyuaq5,ɕyʌʔ5,
卻,qyuaq5,tɕʰyʌʔ5,
卻,qiaq5,tɕʰiʌʔ5,
卿,qieng1,tɕʰiəŋ1,
厄,ngaq5,ŋʌʔ5,
厚,hou4,xɤu4,
原,yue2,yẽ̞2,
厝,cou4,tsʰɤu4,
厥,jyuaq5,tɕyʌʔ5,
厭,ye3,ie̞3,
厲,li4,li4,
去,qyu4,tɕʰy4,
參,seng1,səŋ1,
又,you4,iɤu4,
叉,ca1,tsʰa1,
友,you3,iɤu3,
及,jiaq6,tɕiʌʔ6,
反,huon1,xuõ̞1,
取,qyu3,tɕʰy3,
叔,suaq5,suʌʔ5,
受,shou4,ʂɤu4,
叛,pang4,pʰã4,
叟,sou3,sɤu3,
曼,mang4,mã4,
叢,cueng2,tsʰuəŋ2,
口,kou3,kʰɤu3,
可,ko3,kʰɔ3,
可,kie3,kʰie̞3,
可,kie1,kʰie̞1,
古,gu3,ku3,
右,you4,iɤu4,
召,zho4,tʂɔ4,
叮,dieng1,tiəŋ1,
叩,kou3,kʰɤu3,
叨,to1,tʰɔ1,
叨,do1,tɔ1,
叼,dio1,tiɔ1,
司,sr1,sɿ1,
叵,po3,pʰɔ3,
叫,jio4,tɕiɔ4,
另,lieng4,liəŋ4,
另,li4,li4,
只,zr3,tsɿ3,
史,sr3,sɿ3,
叱,chaq5,tʂʰʌʔ5,
台,tae1,tʰɛ1,
句,jyu4,tɕy4,
叭,baq5,pʌʔ5,
吉,jiaq5,tɕiʌʔ5,
吏,li4,li4,
同,tueng2,tʰuəŋ2,
同,dueng2,tuəŋ2,
吊,dio4,tiɔ4,
吐,tu3,tʰu3,
吁,xyu1,ɕy1,
各,gaq5,kʌʔ5,
向,xiang4,ɕiã4,
向,xyuo4,ɕyo̞4,
名,mieng2,miəŋ2,
名,mi2,mi2,
合,haq6,xʌʔ6,
合,gaq5,kʌʔ5,
吃,jiaq5,tɕiʌʔ5,
后,hou4,xɤu4,
吆,yo1,iɔ1,
吒,za4,tsa4,
吝,lieng4,liəŋ4,
吭,hang2,xã2,
吞,teng1,tʰəŋ1,
吾,wu2,u2,
否,hu3,xu3,
否,pi3,pʰi3,
吧,pa1,pʰa1,
呆,ngae2,ŋɛ2,
吳,wu2,u2,
呈,cheng2,tʂʰəŋ2,
呂,luei3,luei3,
君,jyueng1,tɕyəŋ1,
吩,hueng1,xuəŋ1,
告,go4,kɔ4,
吹,cuei1,tsʰuei1,
吻,weng3,uəŋ3,
吸,xiaq5,ɕiʌʔ5,
吮,sueng3,suəŋ3,
吵,co3,tsʰɔ3,
吶,naq6,ȵʌʔ6,
吠,huei4,xuei4,
吼,hou3,xɤu3,
呀,ya,ia,
吱,zr1,tsɿ1,
含,hang2,xã2,
吟,nieng2,ȵiəŋ2,
味,wei4,uei4,
呵,ho1,xɔ1,
呵,hei1,xei1,
咖,ka1,kʰa1,
咖,ka3,kʰa3,
呸,pei1,pʰei1,
咕,gu1,ku1,
咀,jyu3,tɕy3,
呻,sheng1,ʂəŋ1,
呷,xiaq5,ɕiʌʔ5,
咄,duaq5,tuʌʔ5,
咒,zhou4,tʂɤu4,
咆,po2,pʰɔ2,
呼,hu1,xu1,
咐,hu4,xu4,
呱,gua1,kua1,
和,huo2,xuo̞2,
和,huei2,xuei2,
和,hu3,xu3,
和,hu2,xu2,
咚,dueng1,tuəŋ1,
呢,nzr2,nzɿ2,
周,zhou1,tʂɤu1,
咋,za3,tsa3,
命,mieng4,miəŋ4,
命,mi4,mi4,
咎,jiou4,tɕiɤu4,
咬,nio3,ȵiɔ3,
哀,ngae1,ŋɛ1,
咨,zr1,tsɿ1,
哎,ae4,ɛ4,
哉,zae1,tsɛ1,
咸,xiang2,ɕiã2,
咳,kaq5,kʰʌʔ5,
哇,wa1,ua1,
哂,sheng3,ʂəŋ3,
咽,ye1,ie̞1,
咪,mi1,mi1,
品,pieng3,pʰiəŋ3,
哄,hueng3,xuəŋ3,
哈,ha1,xa1,
咯,gaq5,kʌʔ5,
咫,zr3,tsɿ3,
咱,za2,tsa2,
咻,xiou1,ɕiɤu1,
哨,so4,sɔ4,
唐,tang2,tʰã2,
唁,nie4,ȵie̞4,
哼,heng1,xəŋ1,
哥,go1,kɔ1,
哥,gie1,kie̞1,
哲,zhaq5,tʂʌʔ5,
唆,suo1,suo̞1,
哺,bu3,pu3,
哭,kuaq5,kʰuʌʔ5,
員,yue2,yẽ̞2,
唉,ae4,ɛ4,
哮,xio1,ɕiɔ1,
哪,la3,la3,
哦,ngo2,ŋɔ2,
哦,o,ɔ,
唧,jiaq5,tɕiʌʔ5,
商,shang1,ʂã1,
啪,pia1,pʰia1,
啦,la,la,
啄,zuaq5,tsuʌʔ5,
啞,ya3,ia3,
啞,nga3,ŋa3,
啡,pae3,pʰɛ3,
啡,huei1,xuei1,
啃,kueng3,kʰuəŋ3,
啊,a,a,
唱,chang4,tʂʰã4,
啖,dang4,tã4,
問,weng4,uəŋ4,
啕,to2,tʰɔ2,
唯,wei2,uei2,
啤,pi2,pʰi2,
唸,nie4,ȵie̞4,
售,shou4,ʂɤu4,
啜,zuei4,tsuei4,
唬,hu3,xu3,
啣,xiang2,ɕiã2,
啣,hang2,xã2,
唳,li4,li4,
唳,liaq6,liʌʔ6,
啻,sr4,sɿ4,
喀,kaq5,kʰʌʔ5,
喧,xyue1,ɕyẽ̞1,
啼,ti2,tʰi2,
喊,hang3,xã3,
喝,haq5,xʌʔ5,
喘,cuon3,tsʰuõ̞3,
喘,suon3,suõ̞3,
喂,wei4,uei4,
喂,yu4,y4,
喜,xi3,ɕi3,
喪,sang1,sã1,
喪,sang4,sã4,
喔,waq5,uʌʔ5,
喇,laq6,lʌʔ6,
喋,diaq6,tiʌʔ6,
喃,nzang2,nzã2,
喳,za1,tsa1,
單,dang1,tã1,
喟,kuei4,kʰuei4,
唾,tuo4,tʰuo̞4,
唾,tuei4,tʰuei4,
喲,yo,iɔ,
喚,huon4,xuõ̞4,
喻,yu4,y4,
喬,qio2,tɕʰiɔ2,
喱,li2,li2,
啾,jiou1,tɕiɤu1,
喉,hou2,xɤu2,
喉,guaq6,kuʌʔ6,
嗟,jie1,tɕie̞1,
嗨,hae1,xɛ1,
嗓,sang3,sã3,
嗜,sr4,sɿ4,
嗇,saq5,sʌʔ5,
嗑,kaq5,kʰʌʔ5,
嗣,sr4,sɿ4,
嗤,cr1,tsʰɿ1,
嗯,eng4,əŋ4,
嗚,wu1,u1,
嗡,weng1,uəŋ1,
嗅,xiou4,ɕiɤu4,
嗆,qiang4,tɕʰiã4,
嗆,qyuo4,tɕʰyo̞4,
嗥,ho2,xɔ2,
嗾,sou3,sɤu3,
嘀,diaq5,tiʌʔ5,
嘗,chang2,tʂʰã2,
嘗,suo2,suo̞2,
嗽,sou4,sɤu4,
嘔,ngou3,ŋɤu3,
嘆,tang1,tʰã1,
嘉,jia1,tɕia1,
嘍,lou2,lɤu2,
嘎,ga1,ka1,
嗷,ngo2,ŋɔ2,
嘖,zaq5,tsʌʔ5,
嘟,du1,tu1,
嘈,co2,tsʰɔ2,
嘮,lo2,lɔ2,
嘻,xi1,ɕi1,
嘹,lio2,liɔ2,
嘲,co2,tsʰɔ2,
嘿,hei1,xei1,
嘩,hua1,xua1,
噓,xyu1,ɕy1,
噎,yaq5,iʌʔ5,
噗,pu1,pʰu1,
噴,peng1,pʰəŋ1,
嘶,si1,si1,
嘯,xio4,ɕiɔ4,
嘰,ji1,tɕi1,
噙,qieng2,tɕʰiəŋ2,
噫,yi1,i1,
噹,dang1,tã1,
噩,ngaq5,ŋʌʔ5,
噤,jieng4,tɕiəŋ4,
噸,dueng3,tuəŋ3,
嘴,zuei3,tsuei3,
噪,zo4,tsɔ4,
器,qi4,tɕʰi4,
噱,jyuaq6,tɕyʌʔ6,
噯,ae4,ɛ4,
噬,shr4,ʂʅ4,
噢,o,ɔ,
嚎,ho2,xɔ2,
嚀,nieng2,ȵiəŋ2,
嚐,chang2,tʂʰã2,
嚐,suo2,suo̞2,
嚅,zsw2,zʮ2,
嚇,xia4,ɕia4,
嚇,ha4,xa4,
嚏,ti4,tʰi4,
嚮,xiang4,ɕiã4,
嚥,ye4,ie̞4,
嚨,lueng2,luəŋ2,
嚷,rang3,ɻã3,
嚶,yeng1,iəŋ1,
嚴,nie2,ȵie̞2,
嚼,jyuaq6,tɕyʌʔ6,
囁,raq6,ɻʌʔ6,存疑
